Sample,Age_a [Ma],Age_b [Ma],Depth [mbsf],87Sr/86Sr,Error
"5-3,105-109",9.02,9.74,41.38,0.708992,0.000016
"5-4,105-109",9.19,9.93,42.81,0.70895,0.000017
"5-4,105-109",9.19,9.93,42.81,0.708948,0.000006
"5-5,105-109",9.36,10.13,44.24,0.708929,0.00002
"5-6,105-109",9.53,10.32,45.67,0.708934,0.000011
"5-7,10-14",9.59,10.39,46.19,0.708917,0.000033
"5-cc, 10",9.7,10.47,46.89,0.708893,0.00004
"6-1,105-109",9.88,10.59,48,0.708895,0.000005
"6-2,105-109",10.11,10.75,49.42,0.708912,0.000006
"6-3,105-109",10.33,10.91,50.82,0.708903,0.000007
"6-3,105-109",10.33,10.91,50.82,0.708892,0.000007
"6-4,105-109",10.55,11.06,52.22,0.708896,0.000009
"6-5,105-109",10.78,11.22,53.62,0.708881,0.000027
"6-6,105-109",11,11.37,55.02,0.708874,0.000021
"6-cc,20",11.21,11.52,56.31,0.708864,0.000007
"7-1,102-106",11.34,11.62,57.48,0.708903,0.00003
"7-2,104-108",11.43,11.72,58.94,0.708894,0.000006
"7-2,104-108",11.43,11.72,58.94,0.70889,0.000006
"7-3,100-104",11.52,11.82,60.34,0.708891,0.000007
"7-4,101-105",11.92,12.16,61.79,0.708868,0.000008
"7-5,100-104",12.46,12.62,63.22,0.708877,0.000008
"7-6,100-104",13.01,13.09,64.66,0.708875,0.000007
"7-7,10-14",13.06,13.13,65.22,0.708845,0.000016
"8-1,100-104",13.23,13.29,67.02,0.708849,0.000011
"8-2,100-104",13.46,13.48,68.52,0.708841,0.000009
"8-3,100-104",13.69,13.67,70.02,0.708826,0.000007
"8-4,100-104",13.97,13.94,71.52,0.708822,0.000004
"8-5,100-104",14.23,14.19,73.02,0.708826,0.000005
"8-5,100-104",14.23,14.19,73.02,0.708807,0.000006
"8-6,100-104",14.42,14.37,74.52,0.708807,0.000006
"8-7,12-16",14.5,14.45,75.16,0.708813,0.000008
"9-2,100-104",14.66,14.61,76.5,0.708782,0.000006
"9-3,100-104",14.79,14.73,78,0.708785,0.000009
"9-3,100-104",14.79,14.73,78,0.708808,0.000007
"9-4,101-105",14.99,14.9,79.51,0.70879,0.000006
"9-5,100-104",15.27,15.16,81,0.708798,0.000008
"9-6,98-102",15.62,15.48,82.48,0.708803,0.000005
"9-7,100-104",15.98,15.82,84,0.708817,0.000018
"9-7,100-104",15.98,15.82,84,0.708801,0.000029
"9-8,10-14",16.13,15.95,84.6,0.708768,0.000007
9-cc,16.2,16.02,84.9,0.708758,0.000005
"10-1,100-104",16.35,16.16,86.01,0.708754,0.000027
"10-2,100-104",16.54,16.34,87.49,0.708724,0.000014
"10-3,100-104",16.73,16.52,88.98,0.708693,0.000015
"10-3,100-104",16.73,16.52,88.98,0.708687,0.000018
"10-4,100-104",16.92,16.7,90.46,0.708705,0.000006
"10-5,100-104",17.26,17.02,91.95,0.708682,0.000016
"10-6,100-104",17.71,17.39,93.43,0.708678,0.000007
"10-7,10-14",17.95,17.54,94.03,0.708689,0.000004
"11-1,100-104",18.22,17.77,95.47,0.708669,0.000005
"11-2,102-106",18.33,17.96,96.91,0.708612,0.00002
"11-3,100-104",18.44,18.13,98.32,0.708615,0.000006
"11-3,100-104",18.44,18.13,98.32,0.708595,0.000006
"11-4,100-104",18.56,18.31,99.74,0.708602,0.00002
"11-4,100-104",18.56,18.31,99.74,0.708605,0.000021
"11-5,101-105",18.71,18.46,101.18,0.70862,0.000009
"11-6,101-105",18.86,18.6,102.6,0.708585,0.000012
"11-7,10-14",18.92,18.66,103.16,0.708583,0.000004
"12-1,100-104",19.11,18.84,104.97,0.708578,0.000053
"12-2,100-104",19.26,18.99,106.39,0.708574,0.000005
"12-2,100-104",19.26,18.99,106.39,0.708547,0.000006
"12-3,100-104",19.45,19.18,107.82,0.708586,0.00003
"12-3,100-104",19.45,19.18,107.82,0.70853,0.00004
"12-3,100-104",19.45,19.18,107.82,0.708537,0.00002
"12-4,100-104",19.72,19.45,109.24,0.708533,0.000007
"12-5,100-104",20.02,19.72,110.67,0.708505,0.000006
"12-5,100-104",20.02,19.72,110.67,0.708428,0.000021
"12-6,100-104",20.29,19.99,112.09,0.708502,0.000006
"12-6,100-104",20.29,19.99,112.09,0.708492,0.000007
"12-7,10-14",20.41,20.09,112.66,0.708492,0.000008
"12-7,10-14",20.41,20.09,112.66,0.708436,0.00003
"13-1,101-105",20.77,20.44,114.51,0.708461,0.000005
"13-2,101-105",21.05,20.76,115.98,0.708406,0.000013
"13-2,101-105",21.05,20.76,115.98,0.708399,0.00002
"13-3,101-105",21.32,21.09,117.44,0.708428,0.000006
"13-4,101-105",21.6,21.42,118.91,0.70839,0.000006
"13-5,100-104",21.88,21.76,120.37,0.70838,0.000006
"13-6,100-104",22.22,22.19,121.84,0.708364,0.000027
"13-7,10-14",22.37,22.37,122.43,0.708349,0.000008
"14-1,102-106",22.78,22.83,124.01,0.70828,0.000017
"14-2,102-106",23.18,23.25,125.46,0.708287,0.000008
"14-3,102-106",23.68,23.62,126.91,0.70828,0.000007
"14-4,102-106",24.26,23.96,128.37,0.708282,0.000007
"14-5,101-105",24.81,24.3,129.81,0.708274,0.000018
"14-5,101-105",24.81,24.3,129.81,0.708243,0.00002
"14-6,101-105",25.39,24.64,131.27,0.708271,0.000019
"14-7,12-16",25.62,24.78,131.86,0.708265,0.000009
"15-1,100-104",26.24,25.17,133.48,0.708222,0.00001
"15-2,100-104",26.78,25.51,134.93,0.70822,0.000015
